Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost,Category
Tango Lesson Where Passion and Fun Meet,4.99,256.0,Barcelona,Spain,60, English and Spanish,16,100.0,41.0,Dance
Dance the ‘stress’ away,5.0,13.0,Lisboa,Portugal,60, Portuguese and English,5,15.0,116.0,Dance
Tango Intro by Argentinian Experts,4.99,446.0,Caba,Argentina,60, English Spanish French and Portuguese,15,30.0,50.0,Dance
Tango Through the History of Argentina,4.93,221.0,Buenos Aires,Argentina,60, English Spanish and Portuguese,10,100.0,39.0,Dance
Dance with a Jamaican,4.97,147.0,Negril,Jamaica,60, English,12,30.0,10.0,Dance
Balinese Dance and Culture,5.0,63.0,Semarapura,Indonesia,60, English French Italian and Portuguese,13,30.0,50.0,Dance
Russian Ballet class Online,5.0,7.0,Moscow,Russia,60, English and Russian,29,4.0,71.0,Dance
Rio’s carnival backstage live experience,4.95,313.0,Rio de Janeiro,Brazil,60, English French and Portuguese,16,30.0,147.0,Dance
Cuban Salsa Dance Class and Latin Party,4.99,69.0,Puerto Vallarta,Mexico,75, English Spanish French and Portuguese,12,30.0,40.0,Dance
Sweat It Out in a Bhangra Dance Class,5.0,45.0,Raleigh,United States,60, English,20,100.0,200.0,Dance
Booty Shake with Colombian Choreographer,4.98,114.0,Medellin,Colombia,60, English Spanish and Portuguese,14,20.0,66.0,Dance
A bailar salsa cubana pasos libres,,,Turku,Finland,60, English and Spanish,18,6.0,12.0,Dance
Biodanza - the dance of life,5.0,1.0,Buenos Aires,Argentina,90, English German and Spanish,12,10.0,100.0,Dance
Brazilian Samba class,5.0,48.0,Rio de Janeiro,Brazil,60, Portuguese English Spanish and French,19,20.0,207.0,Dance
Gypsy Flamenco Fiesta & Dance Lesson,5.0,47.0,Seville,Spain,60, English Spanish and Italian,20,30.0,99.0,Dance
High Kicks & Precision Jazz Dance,5.0,18.0,New York,United States,75, English,40,10.0,350.0,Dance
Learn to Chair Dance from home,5.0,1.0,Paris,France,60, English,10,10.0,35.0,Dance
Discover New Zealand's culture with Māori Merv,5.0,1.0,Whangarei City,New Zealand,60, English,18,30.0,460.0,Dance
Complete Guide to Geisha Culture,4.97,33.0,Ikeda City,Japan,60, English and Japanese,16,30.0,97.0,Dance
Joytime - Dance Improvisation,5.0,10.0,New York,United States,60, English,25,30.0,39.0,Dance
Afro-Peruvian Dances and Live Music,5.0,9.0,Lima,Peru,75, Spanish and English,17,20.0,53.0,Dance
Flamenco Class&Party with Spanish Dancer,4.99,229.0,Sevilla,Spain,60, English and Spanish,18,100.0,70.0,Dance
Mezcal & Tequila Cocktail Masterclass,4.97,893.0,Mexico City,Mexico,90, English and Spanish,30,100.0,296.0,Drinks
Worlds Top Coffee Masterclass,4.96,2746.0,Mexico City,Mexico,60, English and Spanish,9,500.0,79.0,Drinks
Happy Hour n' a Half Cocktail Game Show,4.95,352.0,Bath,United Kingdom,90, English,21,100.0,207.0,Drinks
Fun Argentine Wine Class with Local Somm,4.99,1290.0,Buenos Aires,Argentina,60, English Spanish and Portuguese,21,100.0,220.0,Drinks
Top Peruvian Recipes with an Expert Chef,4.99,191.0,Cusco,Peru,90, English and Spanish,18,30.0,51.0,Drinks
Boozy Drag Queen Bingo,4.97,478.0,San Francisco,United States,60, English,30,30.0,300.0,Drinks
Diwali Special- Make Samosa & Coriander Chutney From Scratch,5.0,654.0,New Delhi,India,75, English,16,100.0,147.0,Drinks
The Circus Factory,4.88,65.0,Lisbon,Portugal,60, English Spanish French and Portuguese,29,500.0,406.0,Drinks
Quick Classic Cocktails - Two Ways,4.97,154.0,Los Angeles,United States,60, English,19,100.0,250.0,Drinks
Holidays- Drinks and Fun Tarot for Groups,4.95,129.0,St Petersburg,United States,60, English,30,100.0,125.0,Drinks
Hidden Jazz Club,4.96,741.0,London,United Kingdom,60, English,21,500.0,413.0,Drinks
Happy Halloween with Caipirinha classes from Rio,4.99,355.0,Rio de Janeiro,Brazil,60, English Spanish and Portuguese,12,100.0,229.0,Drinks
Wine Class with a Cool Wine Expert,4.98,918.0,Porto,Portugal,60, English,23,100.0,231.0,Drinks
Italian coffee with a Paralympic champion,5.0,15.0,,Italy,45, Italian English and Spanish,18,500.0,116.0,Drinks
Explore the Wine and Wellness of Italy,4.98,170.0,Toronto,Canada,60, English,17,30.0,33.0,Drinks
GINspiration History & Cocktails at Home,4.96,1738.0,Bath,United Kingdom,90, English,21,100.0,207.0,Drinks
The Shaun Jay Virtual Magic Experience,5.0,22.0,Raleigh,United States,45, English,30,30.0,500.0,Drinks
Cocktail History & Mixology Class,4.98,241.0,Minneapolis,United States,90, English,29,100.0,399.0,Drinks
Egyptian family day,4.98,96.0,Luxor City,Egypt,45, English Arabic and Italian,11,100.0,60.0,Drinks
Wine Tasting from France with a Somm,4.97,91.0,Paris,France,60, English Spanish Italian and Portuguese,21,30.0,126.0,Drinks
The Tequila Madness Interactive Workshop,4.99,167.0,Mexico City,Mexico,175, English,26,30.0,150.0,Drinks
Explore Beer and Chocolate Pairings,5.0,23.0,Toronto,Canada,60, English,13,30.0,17.0,Drinks
"Pasta, Cocktails, Jokes & Live Music",4.91,33.0,Rome,Italy,90, English,40,15.0,348.0,Drinks
Tarot reading & Argentinian Mate ritual,4.98,108.0,Buenos Aires,Argentina,90, Spanish and English,19,30.0,55.0,Drinks
Cocktails Masterclass With Uk Champion,4.97,474.0,London,United Kingdom,75, English and Portuguese,21,30.0,104.0,Drinks
Spiced Drinks with Dancing Indian Chef,5.0,32.0,Berlin,Germany,60, English,18,100.0,157.0,Drinks
Beer Drinking with the Brits,4.99,271.0,London,United Kingdom,90, English,17,100.0,99.0,Drinks
Secrets of Japanese Whiskey,4.95,176.0,Osaka City,Japan,75, Japanese and English,15,100.0,92.0,Drinks
Brew Masala Chai with a Gujarati South Indian,,,Boulder,United States,30, English,38,30.0,250.0,Drinks
Kenyan spiced tea & sweet Swahili treats,,,Nairobi,Kenya,90, English,16,30.0,150.0,Drinks
All of the Coffee With producer from Colombia,4.89,271.0,Bogota,Colombia,60, Spanish and English,10,30.0,54.0,Drinks
The Valencia Paella Workshop,5.0,57.0,Valencia,Spain,75, English,23,100.0,111.0,Drinks
Colombian Coffee from Bean to Cup,4.99,212.0,Medellin,Colombia,60, English and Spanish,22,30.0,160.0,Drinks
Vagabond Vintner's Global Mulled Wines,,,Hartford,United States,90, English,17,10.0,150.0,Drinks
Make Turkish Red Lentil Balls with Ceyda,5.0,2.0,Antalya,Turkey,90, English,13,6.0,11.0,Drinks
Guide to American Craft Beer Culture,4.97,75.0,Austin,United States,90, English,15,30.0,50.0,Drinks
All About Mezcal with a Oaxaca Sommelier,4.96,252.0,Austin,United States,60, English and Spanish,14,100.0,150.0,Drinks
"Learn the easiest tea, Indian Spicy tea, Secret Spices",5.0,2.0,Udaipur,India,30, English French and Hindi,2,6.0,10.0,Drinks
Real Spanish Tapas & Sangria,5.0,51.0,Barcelona,Spain,90, English,35,100.0,348.0,Drinks
Turkish Coffee Fortune Telling,4.97,304.0,New York,United States,60, English,50,30.0,195.0,Drinks
"Bartender's Signature, The Old Fashioned",5.0,6.0,New York,United States,60, English,38,20.0,100.0,Drinks
Boosting Immune with Jamu herbal drink,5.0,4.0,Tegallalang,Indonesia,60, English,9,20.0,9.0,Drinks
Argentine Malbec Wine and Tasting,5.0,1.0,Buenos Aires,Argentina,45, English German French and Portuguese,12,30.0,100.0,Drinks
Make Mexican Fiesta Essentials with Chef,4.96,144.0,Mexico City,Mexico,175, English and Spanish,21,100.0,209.0,Drinks
Virtual Sherry tasting tour from Cadiz,5.0,2.0,Vejer de la Frontera,Spain,60, English,12,10.0,93.0,Drinks
Mindfulness Tea Ceremony,5.0,135.0,Ikeda City,Japan,75, English,18,30.0,97.0,Drinks
Italian Aperitivo Spritz Bellini & Hugo,5.0,103.0,Provincia di Treviso,Italy,60, English and Italian,23,30.0,140.0,Drinks
Whisky nosing and tasting,5.0,3.0,Edinburgh,United Kingdom,90, English,18,10.0,104.0,Drinks
Chardonnay Pairing Art in South Africa,4.96,26.0,Cape Town,South Africa,90, English,14,30.0,172.0,Drinks
"Mate, Argentina's Famous Drink & Tasting",4.98,52.0,Buenos Aires,Argentina,45, English German Spanish and Portuguese,12,30.0,100.0,Drinks
Learn how to saber a bottle of Champagne,4.98,139.0,Epernay,France,60, French and English,12,30.0,47.0,Drinks
Whiskey & Cocktails To 'e' Or Not To 'e',5.0,15.0,Bath,United Kingdom,90, English,17,30.0,207.0,Drinks
Golden Milk / Turmeric Latte -Master Class (Vegan Friendly),5.0,4.0,Jaipur,India,30, English,10,501.0,100.0,Drinks
Lazy Pierogi - Polish Communist Recipes,5.0,1.0,Krakow,Poland,60, English,22,30.0,199.0,Drinks
"Moroccan Tajine, Tea and Tapas with Aman",5.0,1.0,Antalya,Turkey,120, English,18,15.0,13.0,Drinks
Fluid Art Class & Happy Hour Optional,5.0,23.0,Los Angeles,United States,60, English,24,30.0,25.0,Drinks
Wines from Spain for Beginners,,,Valencia,Spain,60, English,18,,,Drinks
Wine Tasting Around Austria,,,Vienna,Austria,90, English,18,10.0,174.0,Drinks
Secrets of Champagne by a local expert,4.99,76.0,Reims,France,60, French English Spanish and Russian,14,30.0,116.0,Drinks
How to make Limoncello - Amalfi coast,5.0,13.0,Cava de' Tirreni,Italy,60, 10 languages,46,30.0,115.0,Drinks
An Irishman's Guide to Irish Whiskey,4.98,261.0,Galway,Ireland,60, English,14,20.0,145.0,Drinks
Georgia- discover the birthplace of wine,4.99,105.0,Gremi Village,Georgia,75, English,14,100.0,125.0,Drinks
Tequila vs Mezcal Cocktail Mayhem Class,5.0,29.0,Mexico City,Mexico,175, English,26,30.0,150.0,Drinks
Tropical Cocktails w/ @theparadise.bartender,4.67,24.0,Honolulu,United States,60, English,24,10.0,300.0,Drinks
Cigar Tasting from Miami's Little Havana,5.0,102.0,Miami,United States,60, English and Spanish,13,30.0,100.0,Drinks
Tapas and Sangria Master Class,4.0,2.0,Arroyo de La Miel,Spain,90, English and Spanish,34,30.0,82.0,Drinks
London Trip Planning with Linton and Glenn,5.0,17.0,London,United Kingdom,60, English,35,8.0,69.0,Drinks
Taste Home Cooked Indian Food with Me,5.0,22.0,Berlin,Germany,90, English and Hindi,14,15.0,116.0,Drinks
Wine Tasting Around the World,5.0,31.0,Vienna,Austria,90, English,18,10.0,174.0,Drinks
Moroccan Tea Ceremony,,,Essaouira,Morocco,60, English and Spanish,20,30.0,133.0,Drinks
Traditional Japanese Alcohol with a Bartender,5.0,32.0,Kumamoto City,Japan,75, Japanese and English,11,10.0,106.0,Drinks
Gazpacho & Sangria with a Top Chef,5.0,1.0,Barcelona,Spain,90, English,35,100.0,348.0,Drinks
Beer Tasting / Cicerone Course,,,Rio de Janeiro,Brazil,25, English Spanish and Portuguese,46,30.0,92.0,Drinks
Uncover the Secrets of Sancerre Wine,5.0,19.0,Sazeray,France,60, English,29,15.0,165.0,Drinks
How to Pair Wine and Food with Laura,4.97,31.0,Syracuse,United States,45, English,12,20.0,125.0,Drinks
Prepare an Aperitivo with a Gastronomist,5.0,15.0,Rome,Italy,60, English and Italian,105,10.0,209.0,Drinks
Wonders of Winemaking From Our Vineyard,4.9,81.0,Varna,Bulgaria,60, English,10,20.0,89.0,Drinks
Mai Tais & Magic; a crazy tiki bar show with Jack Spareribs,4.96,171.0,Sacramento,United States,90, English,35,30.0,400.0,Drinks
Cocktails and Stories From Vietnam,4.98,127.0,Hội An,Vietnam,75, English French and Russian,19,30.0,91.0,Drinks
How To Make Every Cocktail in the World,4.98,64.0,Minneapolis,United States,90, English,25,30.0,249.0,Drinks
"Peruvian Booze Creations, Pisco Making",4.99,149.0,Lima,Peru,60, English and Spanish,9,30.0,26.0,Drinks
Discover the History of Women in Beer,4.99,97.0,Austin,United States,75, English,15,30.0,50.0,Drinks
From Bean to Cup Coffee Master Class,4.99,78.0,Heroica Puebla de Zaragoza,Mexico,60, English and Spanish,20,100.0,320.0,Drinks
Izakaya & Sake Culture with a Sommelier,4.98,122.0,Tokyo,Japan,60, English,14,30.0,79.0,Drinks
"Japanese tea ceremony, tea meditation",5.0,4.0,Kyoto City,Japan,45, English,18,10.0,132.0,Drinks
Craft Cocktail & Spirits Masterclass,4.97,125.0,New York,United States,90, English,30,30.0,150.0,Drinks
Pierogi - Polish Communist Recipes,5.0,5.0,Krakow,Poland,90, English,22,30.0,153.0,Drinks
Wine Tasting Demystified - Taste Wine with a Pro Sommelier,4.97,136.0,Troodos,Cyprus,60, English and Greek,15,30.0,116.0,Drinks
"Chanting, crystals & manifesting",5.0,4.0,Tulum,Mexico,45, English,40,13.0,123.0,Drinks
Sake Secrets from Japan's Oldest Brewery,4.97,602.0,Tokyo,Japan,60, Japanese and English,10,100.0,114.0,Drinks
New Zealand Wine & Travel Experience,4.95,64.0,Nelson,New Zealand,90, English,20,20.0,107.0,Drinks
Italian Spiced Wines of the Past with an Archaeologist,4.97,623.0,Napoli,Italy,60, Italian and English,18,100.0,116.0,Drinks
Fancy an old fashioned &discover Spirits,4.9,21.0,Montreal,Canada,60, English and French,17,14.0,14.0,Drinks
Kombucha Masterclass in Arizona,5.0,3.0,Chandler,United States,90, English,15,10.0,60.0,Drinks
Pastel de Nata & Sangria Class with Chef,5.0,2.0,Porto,Portugal,175, English,23,10.0,116.0,Drinks
Miami-Cuban Cocktails For Private Groups,4.96,257.0,Miami,United States,45, English,16,100.0,160.0,Drinks
Russian Roulette Vodka Quiz game,5.0,29.0,Mosca,Russian Federation,60, English,15,30.0,141.0,Drinks
"How To Make Every Cocktail in the World, Volume Two",4.92,13.0,Minneapolis,United States,90, English,20,30.0,249.0,Drinks
Wine-lover class with a roman Sommelier,5.0,4.0,Rome,Italy,90, English,24,6.0,116.0,Drinks
Cocktail Cabinet aka Mix it like a Pro,4.82,39.0,Singapore,Singapore,90, English,24,16.0,186.0,Drinks
"Cuccumella, the art of coffee in Naples",5.0,1.0,Salerno,Italy,60, English,14,30.0,93.0,Drinks
"Amalfi coast limoncello, try it",5.0,213.0,Salerno,Italy,60, English,18,30.0,93.0,Drinks
Explore Chinese tea culture,,,Shantou City,China,90, Chinese Simplified,31,10.0,94.0,Drinks
Learn about Teas from a Tea Sommelier,4.9,31.0,Bengaluru,India,60, English and Hindi,22,30.0,114.0,Drinks
Tea tasting with a Tea Sommelier,4.97,34.0,Hamilton,Canada,45, English,17,30.0,65.0,Drinks
"Handmade carbonara pasta, Spritz&Rossini",4.99,190.0,Milano,Italy,75, English and Italian,29,30.0,116.0,Drinks
Healing Concert Cellist & Japanese Monk,4.95,558.0,Osaka City,Japan,30, English,8,30.0,176.0,Entertainment
Chai Tea Masterclass-(VEGAN Friendly),5.0,64.0,Jaipur,India,30, English,10,100.0,134.0,Entertainment
Andrew Lee Magic,5.0,228.0,Kuala Lumpur,Malaysia,45, English,45,30.0,602.0,Entertainment
Explore Card Magic,4.97,425.0,Kremenchuk,Ukraine,60, English,26,500.0,308.0,Entertainment
Tiny Theatre presents Halloween Hi-Jinks Mystery Game,,,South Florida Gulf Coast,United States,60, English,25,100.0,400.0,Entertainment
From Paris with Laughs - The Scavenger Hunt,5.0,24.0,Paris,France,60, 15 languages,11,100.0,105.0,Entertainment
The Positive Connection,4.94,17.0,Florence,Italy,60, Italian and English,16,30.0,174.0,Entertainment
Rio’s carnival backstage live experience,4.95,313.0,Rio de Janeiro,Brazil,60, English French and Portuguese,16,30.0,147.0,Entertainment
Fun and Games with Drag Queens in Spain,5.0,14.0,Madrid,Spain,60, English,29,30.0,551.0,Entertainment
Piano Meditation Concert from Paris,4.98,387.0,Paris,France,60, English German and French,14,10.0,174.0,Entertainment
Self-Love Spell Creation Course,4.97,37.0,Los Angeles,United States,60, English,30,30.0,120.0,Entertainment
Afro-Peruvian Dances and Live Music,5.0,9.0,Lima,Peru,75, Spanish and English,17,20.0,53.0,Entertainment
Master Improvisation In One Hour,4.93,103.0,New York,United States,60, English,49,100.0,490.0,Entertainment
Family Magic Show and Magic Lesson,4.96,1049.0,Chiyoda City,Japan,60, Japanese English and Indonesian,25,500.0,300.0,Entertainment
Magic & Scam for honest people,4.88,153.0,Lyon,France,60, French and English,14,30.0,116.0,Entertainment
Secrets of Magic,4.97,1058.0,Berkhamsted,United Kingdom,90, English,28,500.0,550.0,Entertainment
This Is Magic,4.98,115.0,Kuala Lumpur,Malaysia,45, English,25,100.0,403.0,Entertainment
Tango Concert with Latin Grammy Nominee,4.98,1056.0,Buenos Aires,Argentina,60, English and Spanish,15,500.0,300.0,Entertainment
"Magic, Murder and a Cup of Tea",5.0,68.0,Calgary,Canada,60, English,26,30.0,377.0,Entertainment
"Believe, A Virtual Magic Experience",5.0,67.0,Singapore,Singapore,45, English,30,20.0,497.0,Entertainment
Beyond the Magic,4.97,348.0,Singapore,Singapore,60, English and Chinese Simplified,26,100.0,371.0,Entertainment
Magic & Mentalism with David Rosenfeld,4.98,385.0,New York,United States,45, English,25,30.0,650.0,Entertainment
Thrilling Escape Game with a Magic Show,4.98,53.0,London,United Kingdom,90, English,24,30.0,94.0,Entertainment
Hidden Jazz Club,4.96,741.0,London,United Kingdom,60, English,21,500.0,413.0,Entertainment
Dan Chan The Millionaires' Mentalist,4.9,81.0,San Francisco,United States,30, English Chinese Simplified and Chinese Traditional,50,500.0,1000.0,Entertainment
Bring Magic Home,4.99,137.0,Toronto,Canada,90, English,24,30.0,78.0,Entertainment
Feel the Magic & Joy Unfold on screen,4.95,20.0,Bengaluru,India,45, English,14,30.0,107.0,Entertainment
Mysteries & Magic in Peru – An Interactive Experience,4.96,187.0,Lima,Peru,60, English and Spanish,30,100.0,255.0,Entertainment
Interactive Magic & Illusion Show,5.0,197.0,New York,United States,60, English,17,30.0,525.0,Entertainment
Discover Japanese Obon stories and festivals in summer,,,Hanyu City,Japan,60, English and Japanese,5,10.0,18.0,Entertainment
Interactive Magic & Mentalism Show,4.91,85.0,Sacramento,United States,45, English,25,25.0,150.0,Entertainment
Virtual Magic Corporate Getaway,5.0,3.0,Toronto,Canada,60, English,21,30.0,203.0,Entertainment
The Shaun Jay Virtual Magic Experience,5.0,22.0,Raleigh,United States,45, English,30,30.0,500.0,Entertainment
Classical Piano Concert Live from Vienna,4.99,154.0,Vienna,Austria,60, English,16,30.0,115.0,Entertainment
Shadows in the Dark- A Spooky Magic Show,5.0,6.0,Singapore,Singapore,60, English,26,30.0,371.0,Entertainment
An Evening with a Flamenco Composer,4.92,375.0,Madrid,Spain,75, English and Spanish,13,100.0,301.0,Entertainment
"Digital Deceptions, Virtual Magic Show",4.95,43.0,Singapore,Singapore,45, English and German,26,30.0,390.0,Entertainment
Tiny_Theatre Interactive Murder Mystery,4.97,286.0,Fort Myers,United States,175, English,33,100.0,460.0,Entertainment
"The Gorgeousity - a playful, art-making, musical adventure",,,Philadelphia,United States,90, English,15,,,Entertainment
Magic show & mentalism show lesson trick,4.94,18.0,New York,Poland,60, English,26,30.0,72.0,Entertainment
Dance with a Jamaican,4.97,147.0,Negril,Jamaica,60, English,12,30.0,10.0,Entertainment
Magic & Illusion with a Master Magician,4.98,174.0,Sydney,Australia,60, English and Italian,23,30.0,164.0,Entertainment
Unique Concert from Istanbul,5.0,55.0,Istanbul,Turkey,60, English Azerbaijani and Turkish,14,30.0,57.0,Entertainment
Concert with Scottish folksinger,4.93,15.0,Glasgow,United Kingdom,60, English,28,30.0,275.0,Entertainment
Singer-songwriter concert in Italy,4.99,80.0,Fornoli,Italy,75, English and Italian,7,10.0,82.0,Entertainment
Virtual Classical Music Tour of Vienna,4.86,7.0,Vienna,Austria,60, English,27,30.0,174.0,Entertainment
Canada's Old West History in Song & Tale,5.0,19.0,Okotoks,Canada,60, English,29,10.0,223.0,Entertainment
Intimate Gig from Somewhere in the World,4.97,34.0,Londra,United Kingdom,60, English Spanish and Italian,9,30.0,165.0,Entertainment
Drag Queen Bingo Live from Madrid,4.87,355.0,Madrid,Spain,90, English and Spanish,34,30.0,667.0,Entertainment
"Cello Meditation Concert, end-of-year edition",4.98,730.0,Amsterdam,Netherlands,60, English,26,500.0,638.0,Entertainment
Magic & Oddities with Jack Spareribs; professional show-off,4.91,77.0,Sacramento,United States,90, English,29,30.0,350.0,Entertainment
Sweet Treats and Sleight of Hand,4.98,117.0,Johannesburg,South Africa,60, English,18,30.0,337.0,Entertainment
A musical journey to Italy with folk songs for Halloween!,4.98,179.0,Rome,Italy,60, English and Italian,24,100.0,209.0,Entertainment
Mai Tais & Magic; a crazy tiki bar show with Jack Spareribs,4.96,171.0,Sacramento,United States,90, English,35,30.0,400.0,Entertainment
"Uruguayan music, adventures and Candombe",5.0,42.0,Montevideo,Uruguay,60, Spanish and English,12,30.0,19.0,Entertainment
Discover New Zealand's culture with Māori Merv,5.0,1.0,Whangārei,New Zealand,60, English,18,30.0,460.0,Entertainment
Complete Guide to Geisha Culture,4.97,33.0,Ikeda City,Japan,60, English and Japanese,16,30.0,97.0,Entertainment
Japanese Healing Songs by Romantic Guitar Solo,4.96,26.0,Tokyo,Japan,45, English,18,10.0,106.0,Entertainment
Improvised Stories of the World Concert,5.0,71.0,Singapore,Singapore,90, English,38,30.0,297.0,Entertainment
Tiny_Theatre presents A Mystery Game,4.98,42.0,Fort Myers,United States,75, English,20,100.0,300.0,Entertainment
Nashville Concert w/ Emmy Nominated host,4.96,73.0,Nashville,United States,60, English,16,500.0,290.0,Entertainment
Into the Mystical Music of Lisbon Fado,4.98,147.0,Lisboa,Portugal,60, 5 languages,17,40.0,105.0,Entertainment
Holiday Concert from Iceland,4.95,258.0,Reykjavik,Iceland,60, 6 languages,25,100.0,500.0,Entertainment
Live the passion of tango and its poetry,5.0,1.0,Buenos Aires,Argentina,60, Spanish and English,12,30.0,20.0,Entertainment
'no Spain no Game' The Fabulous Game !,4.93,2298.0,Barcelone,Spain,60, 11 languages,16,500.0,105.0,FamilyFriendly
Cook Spanish Paella with a Top Chef,4.97,1066.0,Barcelona,Spain,90, English,35,100.0,349.0,FamilyFriendly
Fun Giant Panda Time With a Nature Guide,4.94,252.0,Chengdu,China,60, English and Chinese Simplified,14,100.0,55.0,FamilyFriendly
Project Avatar virtual escape room,4.83,29.0,Lviv,Ukraine,90, English Russian and Ukrainian,42,30.0,167.0,FamilyFriendly
Family Magic Show and Magic Lesson,4.96,1049.0,Chiyoda City,Japan,60, Japanese English and Indonesian,25,500.0,300.0,FamilyFriendly
Guided tour to visit giant pandas,4.98,65.0,Chengdu,China,75, English Chinese Simplified and Chinese Traditional,35,30.0,280.0,FamilyFriendly
New Zealand Nature Highlights,4.97,773.0,Palmerston North,New Zealand,60, English and Chinese Simplified,13,100.0,456.0,FamilyFriendly
No Sedentary-Live Like Animals,5.0,234.0,Chengdu,China,45, 18 languages,1,30.0,175.0,FamilyFriendly
Explore Card Magic,4.97,425.0,Kremenchuk,Ukraine,60, English,26,500.0,307.0,FamilyFriendly
"Irish Village, History, Culture & Craic",4.97,1932.0,Dublin,Ireland,60, English,19,500.0,175.0,FamilyFriendly
"Halloween Special, Harry Potter Magic in Edinburgh Tour",4.97,1125.0,Edinburgh,United Kingdom,60, English German Spanish and French,18,100.0,179.0,FamilyFriendly
Tarot Reading and Meditation for Halloween,4.98,602.0,Dubai,United Arab Emirates,45, English and Hindi,45,100.0,96.0,FamilyFriendly
Make Mexican Street Tacos with a Pro Chef,4.98,3587.0,Mexico City,Mexico,90, English and Spanish,21,500.0,208.0,FamilyFriendly
Follow a Plague Doctor Through Prague,4.91,2996.0,Prague,Czech Republic,60, English,19,500.0,183.0,FamilyFriendly
Top Peruvian Recipes with an Expert Chef,4.99,191.0,Cusco,Peru,90, English and Spanish,18,30.0,51.0,FamilyFriendly
Make Cannoli with Sicilian Home Chef,4.96,449.0,Milano,Italy,75, English and Italian,19,30.0,70.0,FamilyFriendly
Living Room Legends Scavenger Hunt Game,4.91,2057.0,Austin,United States,60, English and Spanish,12,100.0,112.0,FamilyFriendly
Magic & Scam for honest people,4.88,153.0,Lyon,France,60, French and English,14,30.0,117.0,FamilyFriendly
A Sandwich Masterclass with a Pro,4.97,913.0,New York,United States,60, English,15,500.0,150.0,FamilyFriendly
Italian Masterclass - Gnocchi & Tiramisù,5.0,749.0,Sorrento,Italy,120, English,19,30.0,163.0,FamilyFriendly
Interactive Indian cooking class with us,4.99,574.0,Jaipur,India,175, English,17,30.0,147.0,FamilyFriendly
Beyond the Magic,4.97,347.0,Singapore,Singapore,60, English and Chinese Simplified,26,100.0,371.0,FamilyFriendly
Easy Balinese Indonesian Home Cooking,4.99,783.0,North Denpasar,Indonesia,175, English,23,30.0,107.0,FamilyFriendly
Dan Chan The Millionaires' Mentalist,4.9,81.0,San Francisco,United States,30, English Chinese Simplified and Chinese Traditional,50,500.0,1000.0,FamilyFriendly
Falling Into Fall With Sign Language,4.99,183.0,Athens,United States,60, English,20,100.0,300.0,FamilyFriendly
Not So Scavenger Hunt -Let the madness begin this holiday,5.0,10.0,Delhi,India,60, English and Hindi,11,100.0,54.0,FamilyFriendly
Mysteries & Magic in Peru – An Interactive Experience,4.96,187.0,Lima,Peru,60, English and Spanish,30,100.0,254.0,FamilyFriendly
Diwali Special - Get Creative with Interactive Street Art,4.97,564.0,New Delhi,India,60, English and Hindi,21,500.0,61.0,FamilyFriendly
Live Virtual Wildlife Safari in South Africa,4.85,180.0,Stellenbosch Farms,South Africa,90, English,26,100.0,256.0,FamilyFriendly
Healing and De-stressing Eight Section Brocades,5.0,8.0,Beijing,China,30, English and Chinese Simplified,10,30.0,156.0,FamilyFriendly
Making 1000 Origami Cranes Together,4.99,111.0,Nara,Japan,60, English,22,30.0,176.0,FamilyFriendly
The Shaun Jay Virtual Magic Experience,5.0,22.0,Raleigh,United States,45, English,30,30.0,500.0,FamilyFriendly
"Astrology Workshop, Birth Chart Reading",4.97,644.0,Lisboa,Portugal,60, English,53,12.0,128.0,FamilyFriendly
Discover Buenos Aires' Street Art & Sketch With a Specialist,4.97,739.0,Buenos Aires,Argentina,60, English and Spanish,15,500.0,150.0,FamilyFriendly
Vegan Indonesian Street-Food Desserts,4.97,30.0,Denpasar,Indonesia,60, English,12,20.0,72.0,FamilyFriendly
Diwali Special - The Wonder That Is India!,4.99,196.0,Bengaluru,India,60, English,13,100.0,127.0,FamilyFriendly
"Uncover Pompeii with an Archaeologist, virtual holiday trip",4.98,1010.0,Pompei,Italy,60, 5 languages,18,500.0,175.0,FamilyFriendly
Tiny_Theatre Interactive Murder Mystery,4.97,286.0,Fort Myers,United States,175, English,33,100.0,460.0,FamilyFriendly
Virtual hike/walk in the Amalfi coast,4.98,59.0,Agerola,Italy,60, 11 languages,4,100.0,150.0,FamilyFriendly
The Ultimate Movie Trivia Night - Box Office Now Open,5.0,26.0,Delhi,India,60, English,17,100.0,101.0,FamilyFriendly
Cooking Most Popular Indonesian Cuisines,5.0,43.0,Denpasar,Indonesia,120, English,23,20.0,192.0,FamilyFriendly
Treasure Hunt - The Forgotten Recipe,4.99,145.0,Cavriglia,Italy,60, Italian and English,12,26.0,59.0,FamilyFriendly
Spiced Drinks with Dancing Indian Chef,5.0,32.0,Berlin,Germany,60, English,18,100.0,157.0,FamilyFriendly
Spice it up with Dancing Indian Chef,4.99,149.0,Berlin,Germany,60, English,19,100.0,157.0,FamilyFriendly
Halloween enchanted tale with tarot and oracle cards,5.0,7.0,Dubai,United Arab Emirates,45, English,31,100.0,96.0,FamilyFriendly
Amazing Italian Pasta experience,4.99,583.0,Rome,Italy,90, 6 languages,24,100.0,117.0,FamilyFriendly
"Georgian culture, legends & traditions",4.98,97.0,Tbilisi,Georgia,75, English,14,100.0,125.0,FamilyFriendly
